time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,676.5108,651.0404,651.0404,623.1598,623.1598,621.77,15500000,1.864061e+10
0.01,733.0214,681.8427,681.8427,627.9019,627.9019,624.5853,15500000,1.864061e+10
0.02,789.5312,712.4184,712.4184,633.7769,633.7769,628.5181,15500000,1.864061e+10
0.03,846.039,742.777,742.777,640.6435,640.6435,633.5309,15500000,1.864061e+10
0.04,902.5424,772.9267,772.9267,648.4079,648.4079,639.5402,15500000,1.864061e+10
0.05,959.0374,802.8748,802.8748,656.9874,656.9874,646.4724,15500000,1.864061e+10
0.06,1015.519,832.6278,832.6278,666.3966,666.3966,654.2545,15500000,1.864061e+10
0.07,1071.978,862.1918,862.1918,676.6135,676.6135,662.8149,15500000,1.864061e+10
0.08,1128.408,891.5722,891.5722,687.5083,687.5083,672.0834,15500000,1.864061e+10
0.09,1184.796,920.7738,920.7738,699.018,699.018,681.9919,15500000,1.864061e+10
0.1,1241.132,949.8012,949.8012,711.081,711.081,692.4746,15500000,1.864061e+10
0.11,1297.403,978.6585,978.6585,723.6377,723.6377,703.4683,15500000,1.864061e+10
0.12,1353.596,1007.349,1007.349,736.6311,736.6311,714.9129,15500000,1.864061e+10
0.13,1409.697,1035.877,1035.877,750.0071,750.0071,726.7789,15500000,1.864061e+10
0.14,1465.693,1064.246,1064.246,763.7147,763.7147,739.4312,15500000,1.864061e+10
0.15,1521.571,1092.457,1092.457,777.706,777.706,752.4671,15500000,1.864061e+10
0.16,1577.318,1120.514,1120.514,791.9368,791.9368,765.8398,15500000,1.864061e+10
0.17,1632.923,1148.419,1148.419,806.3664,806.3664,779.5053,15500000,1.864061e+10
0.18,1688.374,1176.174,1176.174,820.9575,820.9575,793.4225,15500000,1.864061e+10
0.19,1743.66,1203.782,1203.782,836.0091,836.0091,807.553,15500000,1.864061e+10
0.2,1798.773,1231.244,1231.244,851.5876,851.5876,821.8615,15500000,1.864061e+10
0.21,1853.702,1258.562,1258.562,867.3088,867.3088,836.3156,15500000,1.864061e+10
0.22,1908.439,1285.738,1285.738,883.1439,883.1439,850.8857,15500000,1.864061e+10
0.23,1962.977,1312.772,1312.772,899.0664,899.0664,865.5451,15500000,1.864061e+10
0.24,2017.309,1339.667,1339.667,915.0524,915.0524,880.2696,15500000,1.864061e+10
0.25,2071.429,1366.423,1366.423,931.0806,931.0806,895.0377,15500000,1.864061e+10
0.26,2125.332,1393.042,1393.042,947.1318,947.1318,909.8302,15500000,1.864061e+10
0.27,2179.012,1419.524,1419.524,963.1892,963.1892,924.6302,15500000,1.864061e+10
0.28,2232.464,1445.872,1445.872,979.2378,979.2378,939.5213,15500000,1.864061e+10
0.29,2285.687,1472.085,1472.085,995.2646,995.2646,955.1286,15500000,1.864061e+10
0.3,2338.674,1498.165,1498.165,1011.258,1011.258,970.7445,15500000,1.864061e+10
0.31,2391.425,1524.112,1524.112,1027.209,1027.209,986.3553,15500000,1.864061e+10
0.32,2443.936,1549.928,1549.928,1043.108,1043.108,1001.949,15500000,1.864061e+10
0.33,2496.204,1575.613,1575.613,1058.949,1058.949,1017.516,15500000,1.864061e+10
0.34,2548.229,1601.168,1601.168,1074.726,1074.726,1033.046,15500000,1.864061e+10
0.35,2600.008,1626.593,1626.593,1090.434,1090.434,1048.532,15500000,1.864061e+10
0.36,2651.539,1651.89,1651.89,1106.068,1106.068,1063.966,15500000,1.864061e+10
0.37,2702.823,1677.059,1677.059,1121.626,1121.626,1079.345,15500000,1.864061e+10
0.38,2753.857,1702.1,1702.1,1137.104,1137.104,1094.661,15500000,1.864061e+10
0.39,2804.641,1727.015,1727.015,1152.502,1152.502,1109.912,15500000,1.864061e+10
0.4,2855.174,1751.804,1751.804,1168.546,1168.546,1125.095,15500000,1.864061e+10
0.41,2905.456,1776.467,1776.467,1184.62,1184.62,1140.206,15500000,1.864061e+10
0.42,2955.487,1801.005,1801.005,1200.619,1200.619,1155.244,15500000,1.864061e+10
0.43,3005.266,1825.42,1825.42,1216.542,1216.542,1170.206,15500000,1.864061e+10
0.44,3054.794,1849.71,1849.71,1232.387,1232.387,1185.093,15500000,1.864061e+10
0.45,3104.07,1873.878,1873.878,1248.154,1248.154,1199.903,15500000,1.864061e+10
0.46,3153.094,1897.924,1897.924,1263.841,1263.841,1214.635,15500000,1.864061e+10
0.47,3201.867,1921.847,1921.847,1279.449,1279.449,1229.289,15500000,1.864061e+10
0.48,3250.39,1945.65,1945.65,1294.977,1294.977,1243.865,15500000,1.864061e+10
0.49,3298.662,1969.332,1969.332,1310.425,1310.425,1258.364,15500000,1.864061e+10
0.5,3346.683,1992.894,1992.894,1325.794,1325.794,1272.786,15500000,1.864061e+10
0.51,3394.455,2016.336,2016.336,1341.084,1341.084,1287.13,15500000,1.864061e+10
0.52,3441.978,2039.66,2039.66,1356.295,1356.295,1301.398,15500000,1.864061e+10
0.53,3489.253,2062.865,2062.865,1371.428,1371.428,1315.591,15500000,1.864061e+10
0.54,3536.28,2085.953,2085.953,1386.483,1386.483,1329.707,15500000,1.864061e+10
0.55,3583.06,2108.924,2108.924,1401.461,1401.461,1343.75,15500000,1.864061e+10
0.56,3629.594,2131.778,2131.778,1416.363,1416.363,1357.718,15500000,1.864061e+10
0.57,3675.882,2154.516,2154.516,1431.189,1431.189,1371.613,15500000,1.864061e+10
0.58,3721.925,2177.139,2177.139,1445.941,1445.941,1385.435,15500000,1.864061e+10
0.59,3767.724,2199.647,2199.647,1460.617,1460.617,1399.272,15500000,1.864061e+10
0.6,3813.281,2222.041,2222.041,1475.22,1475.22,1413.588,15500000,1.864061e+10
0.61,3858.595,2244.321,2244.321,1489.751,1489.751,1427.835,15500000,1.864061e+10
0.62,3903.668,2266.488,2266.488,1504.208,1504.208,1442.014,15500000,1.864061e+10
0.63,3948.501,2288.543,2288.543,1518.594,1518.594,1456.124,15500000,1.864061e+10
0.64,3993.095,2310.486,2310.486,1532.909,1532.909,1470.167,15500000,1.864061e+10
0.65,4037.45,2332.317,2332.317,1547.153,1547.153,1484.143,15500000,1.864061e+10
0.66,4081.568,2354.037,2354.037,1561.328,1561.328,1498.053,15500000,1.864061e+10
0.67,4125.449,2375.647,2375.647,1575.432,1575.432,1511.897,15500000,1.864061e+10
0.68,4169.096,2397.148,2397.148,1589.469,1589.469,1525.675,15500000,1.864061e+10
0.69,4212.508,2418.539,2418.539,1603.436,1603.436,1539.389,15500000,1.864061e+10
0.7,4255.686,2439.822,2439.822,1617.336,1617.336,1553.038,15500000,1.864061e+10
0.71,4298.633,2460.996,2460.996,1631.169,1631.169,1566.623,15500000,1.864061e+10
0.72,4341.348,2482.063,2482.063,1644.935,1644.935,1580.145,15500000,1.864061e+10
0.73,4383.834,2503.023,2503.023,1658.634,1658.634,1593.603,15500000,1.864061e+10
0.74,4426.09,2523.877,2523.877,1672.268,1672.268,1607,15500000,1.864061e+10
0.75,4468.119,2544.624,2544.624,1685.836,1685.836,1620.333,15500000,1.864061e+10
0.76,4509.921,2565.267,2565.267,1699.339,1699.339,1633.605,15500000,1.864061e+10
0.77,4551.497,2585.804,2585.804,1712.777,1712.777,1646.816,15500000,1.864061e+10
0.78,4592.849,2606.237,2606.237,1726.151,1726.151,1659.966,15500000,1.864061e+10
0.79,4633.977,2626.566,2626.566,1739.462,1739.462,1673.055,15500000,1.864061e+10
0.8,4674.882,2646.793,2646.793,1752.708,1752.708,1686.084,15500000,1.864061e+10
0.81,4715.567,2666.916,2666.916,1765.892,1765.892,1699.052,15500000,1.864061e+10
0.82,4756.031,2686.937,2686.937,1779.013,1779.013,1711.962,15500000,1.864061e+10
0.83,4796.276,2706.857,2706.857,1792.071,1792.071,1724.812,15500000,1.864061e+10
0.84,4836.303,2726.675,2726.675,1805.067,1805.067,1737.603,15500000,1.864061e+10
0.85,4876.113,2746.393,2746.393,1818.002,1818.002,1750.335,15500000,1.864061e+10
0.86,4915.708,2766.01,2766.01,1830.875,1830.875,1763.009,15500000,1.864061e+10
0.87,4955.088,2785.528,2785.528,1843.687,1843.687,1775.625,15500000,1.864061e+10
0.88,4994.254,2804.947,2804.947,1856.438,1856.438,1788.184,15500000,1.864061e+10
0.89,5033.208,2824.267,2824.267,1869.129,1869.129,1800.685,15500000,1.864061e+10
0.9,5071.95,2843.489,2843.489,1881.759,1881.759,1813.129,15500000,1.864061e+10
0.91,5110.482,2862.613,2862.613,1894.33,1894.33,1825.516,15500000,1.864061e+10
0.92,5148.805,2881.64,2881.64,1906.841,1906.841,1837.846,15500000,1.864061e+10
0.93,5186.92,2900.571,2900.571,1919.293,1919.293,1850.12,15500000,1.864061e+10
0.94,5224.828,2919.406,2919.406,1931.687,1931.687,1862.339,15500000,1.864061e+10
0.95,5262.53,2938.144,2938.144,1944.021,1944.021,1874.501,15500000,1.864061e+10
0.96,5300.027,2956.788,2956.788,1956.297,1956.297,1886.608,15500000,1.864061e+10
0.97,5337.32,2975.337,2975.337,1968.515,1968.515,1898.66,15500000,1.864061e+10
