time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,657.6732,639.1198,639.1198,643.9959,643.9959,628.592,15500000,1.498625e+10
0.005,691.1511,656.4348,656.4348,669.8055,669.8055,643.2656,15500000,1.498625e+10
0.01,721.8559,672.6808,672.6808,695.8394,695.8394,661.8847,15500000,1.498625e+10
0.015,750.8012,688.2395,688.2395,721.827,721.827,682.9376,15500000,1.498625e+10
0.02,778.6123,703.3391,703.3391,747.705,747.705,705.4535,15500000,1.498625e+10
0.025,805.669,718.12,718.12,773.4527,773.4527,728.8191,15500000,1.498625e+10
0.03,832.2033,732.6691,732.6691,799.0605,799.0605,752.6497,15500000,1.498625e+10
0.035,858.3569,747.04,747.04,824.5217,824.5217,776.7032,15500000,1.498625e+10
0.04,884.2164,761.2659,761.2659,849.8313,849.8313,800.852,15500000,1.498625e+10
0.045,909.8341,775.3675,775.3675,874.9845,874.9845,825.2971,15500000,1.498625e+10
0.05,935.241,789.3572,789.3572,899.9772,899.9772,849.7323,15500000,1.498625e+10
0.055,960.4549,803.2426,803.2426,924.8053,924.8053,874.1174,15500000,1.498625e+10
0.06,985.4856,817.0285,817.0285,949.4648,949.4648,898.4259,15500000,1.498625e+10
0.065,1010.338,830.7174,830.7174,973.952,973.952,922.6399,15500000,1.498625e+10
0.07,1035.013,844.311,844.311,998.2633,998.2633,946.7468,15500000,1.498625e+10
0.075,1059.51,857.8101,857.8101,1022.395,1022.395,970.7373,15500000,1.498625e+10
0.08,1083.829,871.215,871.215,1046.344,1046.344,994.6045,15500000,1.498625e+10
0.085,1107.966,884.526,884.526,1070.106,1070.106,1018.342,15500000,1.498625e+10
0.09,1131.919,897.7429,897.7429,1093.822,1093.822,1041.947,15500000,1.498625e+10
0.095,1155.686,910.8656,910.8656,1117.925,1117.925,1065.412,15500000,1.498625e+10
0.1,1179.262,923.894,923.894,1141.905,1141.905,1088.736,15500000,1.498625e+10
0.105,1202.646,936.8278,936.8278,1165.756,1165.756,1111.914,15500000,1.498625e+10
0.11,1225.834,949.6668,949.6668,1189.477,1189.477,1134.942,15500000,1.498625e+10
0.115,1249.51,962.4107,962.4107,1213.063,1213.063,1157.819,15500000,1.498625e+10
