time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,638.8369,630.3495,630.3495,621.3607,621.3607,621.059,15500000,6.213537e+09
0.01,657.6738,640.623,640.623,623.3239,623.3239,622.4231,15500000,6.213537e+09
0.02,676.5104,650.8242,650.8242,625.6676,625.6676,624.1374,15500000,6.213537e+09
0.03,695.3464,660.9563,660.9563,628.3329,628.3329,626.1966,15500000,6.213537e+09
0.04,714.1809,671.0217,671.0217,631.2871,631.2871,628.5742,15500000,6.213537e+09
0.05,733.0126,681.0229,681.0229,634.5033,634.5033,631.2473,15500000,6.213537e+09
0.06,751.8399,690.9619,690.9619,637.9669,637.9669,634.1928,15500000,6.213537e+09
0.07,770.6602,700.8406,700.8406,641.703,641.703,637.3883,15500000,6.213537e+09
0.08,789.4705,710.6608,710.6608,645.6566,645.6566,640.8114,15500000,6.213537e+09
0.09,808.2676,720.4238,720.4238,649.8076,649.8076,644.4406,15500000,6.213537e+09
0.1,827.0474,730.1313,730.1313,654.1365,654.1365,648.2548,15500000,6.213537e+09
0.11,845.8061,739.7844,739.7844,658.6241,658.6241,652.2338,15500000,6.213537e+09
0.12,864.5391,749.3842,749.3842,663.2522,663.2522,656.3581,15500000,6.213537e+09
0.13,883.2423,758.9319,758.9319,668.003,668.003,660.6093,15500000,6.213537e+09
0.14,901.9113,768.4285,768.4285,672.86,672.86,665.0284,15500000,6.213537e+09
0.15,920.5418,777.8746,777.8746,677.8073,677.8073,669.6515,15500000,6.213537e+09
0.16,939.1297,787.2713,787.2713,682.8302,682.8302,674.3821,15500000,6.213537e+09
0.17,957.6712,796.6191,796.6191,687.9149,687.9149,679.2058,15500000,6.213537e+09
0.18,976.1624,805.9187,805.9187,693.0488,693.0488,684.1089,15500000,6.213537e+09
0.19,994.6001,815.1706,815.1706,698.2202,698.2202,689.0785,15500000,6.213537e+09
0.2,1012.981,824.3755,824.3755,703.5851,703.5851,694.1027,15500000,6.213537e+09
0.21,1031.302,833.5337,833.5337,709.0637,709.0637,699.1705,15500000,6.213537e+09
0.22,1049.56,842.6458,842.6458,714.5751,714.5751,704.2716,15500000,6.213537e+09
0.23,1067.754,851.712,851.712,720.1101,720.1101,709.3968,15500000,6.213537e+09
0.24,1085.88,860.7328,860.7328,725.6605,725.6605,714.5377,15500000,6.213537e+09
0.25,1103.938,869.7085,869.7085,731.2186,731.2186,719.6867,15500000,6.213537e+09
0.26,1121.924,878.6393,878.6393,736.7778,736.7778,724.8368,15500000,6.213537e+09
0.27,1139.837,887.5256,887.5256,742.3319,742.3319,729.9821,15500000,6.213537e+09
0.28,1157.677,896.3676,896.3676,747.8756,747.8756,735.1171,15500000,6.213537e+09
0.29,1175.441,905.1655,905.1655,753.4041,753.4041,740.2959,15500000,6.213537e+09
